Ticker,Date,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change
 RMTI,2020-04-10 10:08:59.062471,-,-,-0.57,1.10%,72.50M,17.99%,161.68M,-,-0.14,0.00%,57.42M,-22.57%,-34.10M,-,-0.13,40.90%,12.90%,-3.88%,61.30M,2.64,-19.80%,-0.01%,4.95,-8.98%,0.37,6.03,68.90%,-64.50%,9.33,-56.78%,0.40,5.58,27.70%,-132.30%,1.31 - 5.80,-8.61%,-,-,16.30%,-,-61.57%,1.53,-,3.00,3.90%,4.60%,70.75%,0.36,269,3.30,-7.80%,-54.70%,49.48,11.98% 20.04%,Yes,0.05,-27.10%,-54.30%,0.86,2.12,Yes,0.00,Mar 12 AMC,-,1.50M,2.23,2.00,8.20%,-12.61%,-12.47%,"1,292,328",5.19%
 RNDM,2020-04-10 10:09:25.077867,-,-,-,-,-,6.26%,-,-,-,-,-,-3.68%,-,-,-,-,-,-20.46%,-,-,-,-,-,-15.66%,-,-,-,-,-,-17.39%,-,-,-,-,34.29 - 52.97,-20.62%,1.42,-,-,-,-21.69%,-,3.42%,-,-,-,20.98%,1.46,-,-,-,-,50.82,1.58% 2.51%,No,-,-,-,1.59,40.64,Yes,-,-,-,3.22K,41.48,-,8.43%,-8.35%,-15.94%,"5,127",2.07%
 RNDV,2020-04-10 10:09:41.451545,-,-,-,-,-,13.17%,-,-,-,-,-,-5.82%,-,-,-,-,-,-18.19%,-,-,-,-,-,-12.93%,-,-,-,-,-,-10.20%,-,-,-,-,14.72 - 24.71,-19.91%,0.54,-,-,-,-22.30%,-,2.81%,-,-,-,30.43%,0.89,-,-,-,-,53.81,1.24% 3.53%,No,-,-,-,0.07,18.59,No,-,-,-,2.26K,19.20,-,11.24%,-7.82%,-12.12%,150,3.30%
 RNEM,2020-04-10 10:09:59.389159,-,-,-,-,-,6.41%,-,-,-,-,-,-15.34%,-,-,-,-,-,-24.37%,-,-,-,-,-,-19.43%,-,-,-,-,-,-23.88%,-,-,-,-,34.19 - 53.33,-24.65%,1.67,-,-,-,-25.70%,-,4.21%,-,-,-,15.91%,1.38,-,-,-,-,47.40,0.72% 1.99%,No,-,-,-,0.35,39.19,No,-,-,-,2.20K,39.63,-,3.57%,-12.77%,-19.73%,764,1.11%
 RNET,2020-04-10 10:10:18.203907,-,-,-1.01,1.80%,22.61M,-9.23%,26.68M,-,-,0.00%,14.38M,-65.99%,-19.20M,-,-0.44,89.30%,4.65%,-80.40%,242.90M,0.11,70.20%,0.64%,6.45,-83.90%,2.34,0.50,-,-7.70%,18.00,-88.44%,0.57,2.07,3.00%,-41.90%,1.02 - 11.34,-82.12%,-,-,-25.40%,-8.30%,-89.59%,2.23,-,1.20,-6.00%,38.40%,15.69%,0.43,625,1.40,6.50%,-0.90%,30.71,17.21% 36.34%,Yes,2.31,99.00%,-7.90%,3.67,1.16,Yes,2.07,Mar 04 AMC,-,103.72K,1.18,1.00,-36.71%,-61.05%,-80.59%,"380,409",1.72%
 RNLC,2020-04-10 10:10:36.259726,-,-,-,-,-,14.15%,-,-,-,-,-,-0.25%,-,-,-,-,-,-17.76%,-,-,-,-,-,-8.77%,-,-,-,-,-,-5.80%,-,-,-,-,15.84 - 25.75,-17.70%,0.31,-,-,-,-20.25%,-,1.51%,-,-,-,29.64%,0.95,-,-,-,-,53.92,2.89% 3.77%,No,-,-,-,2.59,20.16,No,-,-,-,4.92K,20.53,-,11.59%,-6.11%,-11.17%,"12,777",1.85%
 RNMC,2020-04-10 10:10:54.208562,-,-,-,-,-,16.57%,-,-,-,-,-,-2.80%,-,-,-,-,-,-25.40%,-,-,-,-,-,-20.03%,-,-,-,-,-,-20.04%,-,-,-,-,12.91 - 25.00,-25.80%,0.41,-,-,-,-30.43%,-,2.36%,-,-,-,34.72%,1.21,-,-,-,-,52.53,3.31% 8.30%,No,-,-,-,1.27,16.78,No,-,-,-,7.29K,17.39,-,13.50%,-10.73%,-19.87%,"9,247",3.65%
 RNSC,2020-04-10 10:11:10.366032,-,-,-,-,-,14.76%,-,-,-,-,-,-1.84%,-,-,-,-,-,-26.51%,-,-,-,-,-,-22.40%,-,-,-,-,-,-22.52%,-,-,-,-,12.64 - 22.54,-27.05%,0.28,-,-,-,-28.29%,-,1.73%,-,-,-,27.87%,0.82,-,-,-,-,52.54,3.30% 3.91%,No,-,-,-,2.25,15.44,No,-,-,-,3.31K,16.16,-,12.59%,-10.67%,-20.42%,"7,454",4.70%
 RNST,2020-04-10 10:11:28.164863,-,8.85,2.88,2.90%,57.44M,14.02%,1.46B,10.24,2.49,-0.09%,54.54M,9.08%,167.60M,0.89,0.58,68.40%,2.07%,-26.56%,542.60M,2.70,3.10%,0.02%,3.93,-25.58%,37.20,0.68,3.97%,1.30%,39.60,-26.07%,7.37,3.45,10.00%,7.90%,18.22 - 37.36,-28.12%,0.88,18.82,8.90%,16.50%,-31.85%,1.27,3.46%,-,19.10%,-,39.74%,1.75,2527,-,-2.90%,80.50%,55.74,4.67% 8.81%,Yes,0.11,-11.30%,30.90%,1.34,23.87,Yes,0.11,Apr 21 AMC,30.20%,287.58K,25.46,2.80,16.19%,-5.74%,-22.51%,"385,249",6.66%
 RNWK,2020-04-10 10:11:46.901818,-,-,-0.53,1.00%,35.22M,15.37%,25.80M,-,-,-2.09%,22.41M,-6.44%,-20.00M,-,-,42.50%,3.30%,-46.13%,172.10M,0.15,20.80%,-,7.09,-48.77%,1.02,0.72,-,-11.00%,6.50,-74.20%,0.48,1.54,-,-42.00%,0.32 - 2.95,-38.95%,-,-,23.40%,-67.00%,-75.18%,1.28,-,0.60,2.00%,40.10%,128.94%,0.14,453,0.60,161.40%,-18.90%,48.20,10.02% 26.78%,Yes,0.29,8.90%,-11.60%,1.17,0.71,Yes,0.10,May 06 AMC,-,104.45K,0.73,-,19.39%,-23.15%,-47.09%,"122,374",3.55%
 ROAD,2020-04-10 10:12:05.813352,-,21.04,0.84,0.70%,54.03M,2.42%,959.57M,19.33,0.92,-16.30%,18.68M,24.89%,43.40M,3.01,0.06,-,11.99%,5.59%,804.20M,1.19,-6.80%,2.27%,8.79,13.85%,6.78,2.62,10.86%,8.50%,19.71,44.74%,0.91,19.42,7.00%,13.10%,11.20 - 20.79,5.28%,-,-,-,11.00%,-14.57%,-,-,1.90,-,15.00%,58.57%,1.57,628,2.30,13.60%,7.10%,58.37,7.78% 11.62%,Yes,0.16,5.60%,5.40%,1.86,17.34,Yes,0.14,May 08 BMO,0.00%,254.79K,17.76,1.30,12.59%,7.49%,8.60%,"474,395",2.42%
 ROBT,2020-04-10 10:12:27.409990,-,-,-,-,-,9.83%,-,-,-,-,-,0.30%,-,-,-,-,-,-19.20%,-,-,-,-,-,-8.03%,-,-,-,-,-,-13.27%,-,-,-,-,22.51 - 36.77,-17.16%,0.11,-,-,-,-22.55%,-,0.39%,-,-,-,26.50%,1.42,-,-,-,-,52.08,2.98% 4.14%,No,-,-,-,2.64,28.14,Yes,-,-,-,25.55K,28.48,-,10.54%,-7.63%,-12.07%,"67,446",1.21%
 ROCK,2020-04-10 10:12:45.963858,-,22.61,1.99,0.60%,33.59M,12.97%,1.51B,14.45,3.11,0.00%,32.09M,-4.02%,65.10M,1.13,0.38,-,5.84%,-11.69%,1.05B,1.44,1.60%,0.28%,6.95,1.86%,20.75,2.17,10.95%,7.00%,59.50,9.99%,5.70,7.89,20.00%,10.10%,30.60 - 56.58,-10.90%,-,12.72,22.50%,10.10%,-20.57%,1.52,-,1.60,4.00%,23.80%,46.86%,3.36,1932,1.90,7.10%,8.40%,53.30,6.01% 9.39%,Yes,0.00,6.30%,6.20%,0.52,42.19,Yes,0.00,Feb 28 BMO,0.00%,269.71K,44.94,1.70,13.12%,-6.15%,-4.32%,"141,425",6.52%
 ROIC,2020-04-10 10:13:04.821939,-,24.68,0.39,0.60%,117.13M,35.33%,1.11B,26.69,0.36,-11.66%,113.89M,-29.53%,48.40M,3.08,0.09,97.50%,3.47%,-43.32%,295.00M,3.77,13.20%,0.03%,2.45,-47.83%,10.21,0.93,7.55%,1.60%,15.95,-46.21%,0.03,292.83,8.00%,4.10%,5.84 - 19.18,-46.21%,0.80,37.59,10.80%,4.50%,-50.47%,1.36,8.42%,-,13.60%,85.20%,62.67%,1.14,73,-,-2.10%,39.10%,47.03,9.00% 15.10%,Yes,1.20,-4.60%,16.40%,1.27,8.77,Yes,1.20,Apr 22 AMC,185.80%,1.61M,9.50,2.50,10.19%,-27.87%,-43.12%,"2,043,986",8.32%
 ROKU,2020-04-10 10:13:22.363027,-,-,-0.52,0.20%,121.55M,12.02%,11.24B,-,-0.82,-67.36%,93.99M,2.01%,-59.90M,-,-0.43,71.10%,15.93%,-30.90%,1.13B,9.95,-514.50%,0.15%,1.18,-21.51%,5.88,15.72,40.10%,-6.30%,144.43,57.85%,4.24,21.80,11.50%,-12.10%,55.02 - 176.55,-30.96%,-,-,-,-8.00%,-47.64%,-,-,2.40,-,43.90%,68.03%,8.09,1650,2.60,49.10%,-5.80%,49.30,6.48% 11.25%,Yes,0.14,-313.70%,-5.30%,0.57,87.81,Yes,0.14,May 14 AMC,-,12.64M,92.45,2.20,11.51%,-11.87%,-24.96%,"7,192,337",5.28%
 ROLL,2020-04-10 10:13:41.535605,-,24.47,4.98,0.30%,25.37M,6.87%,3.09B,23.28,5.23,-8.47%,24.14M,-13.30%,123.70M,2.22,1.35,-,2.50%,-26.73%,723.80M,4.27,19.20%,0.60%,4.34,-21.82%,43.69,2.79,2.79%,10.20%,144.00,-4.94%,2.38,51.22,11.00%,12.10%,77.63 - 185.05,-23.12%,-,30.58,10.40%,11.00%,-34.22%,1.26,-,1.90,10.90%,39.40%,56.81%,13.26,2261,5.60,3.20%,21.20%,48.53,6.36% 15.67%,Yes,0.02,87.30%,17.10%,1.08,120.00,Yes,0.02,May 05 BMO,0.00%,139.08K,121.73,2.50,11.90%,-16.47%,-23.05%,"150,046",1.44%
 ROSE,2020-04-10 10:14:01.118965,-,-,-1.03,9.20%,41.41M,8.61%,16.19M,-,-0.22,-4.75%,9.45M,-40.41%,44.30M,-,0.05,37.90%,4.91%,-67.42%,300.50M,0.05,258.40%,-0.04%,0.67,-73.93%,4.51,0.09,-191.70%,5.40%,2.31,-89.66%,0.10,3.95,-,84.60%,0.25 - 5.26,-69.45%,-,0.09,-,13.50%,-92.57%,3.34,-,0.90,-,81.80%,56.40%,0.13,79,0.90,-7.60%,24.00%,45.52,22.12% 41.37%,No,5.61,118.50%,14.70%,5.67,0.40,Yes,5.61,May 12 AMC,0.00%,694.06K,0.39,2.70,6.29%,-42.69%,-74.45%,"3,936,719",-2.25%
 ROSEU,2020-04-10 10:14:18.035419,-,0.57,1.02,-,-,-28.40%,-,-,-,-,5.06M,-52.46%,-,-,-,-,-,-86.82%,286.50M,-,-,-,-,-94.91%,4.51,0.13,-,-,-,-94.23%,-,-,-,-,0.32 - 5.50,-52.46%,-,-,-,-,-89.45%,-,-,-,-,-,81.25%,0.25,79,-,-7.40%,-,29.48,43.71% 18.39%,No,-,-,-,0.13,0.58,Yes,-,-,-,1.47K,0.58,-,-39.71%,-72.63%,-92.26%,0,0.00%
 ROST,2020-04-10 10:14:45.117308,S&P 500,19.29,4.60,0.20%,378.04M,11.76%,33.55B,18.40,4.82,0.00%,348.28M,-9.96%,1.66B,2.36,0.57,93.00%,1.27%,-27.34%,16.04B,2.09,8.00%,0.06%,1.36,-18.71%,9.49,9.35,23.32%,18.00%,103.08,-9.76%,3.57,24.83,8.17%,50.30%,56.30 - 124.16,-23.78%,1.14,26.92,15.80%,44.70%,-28.53%,0.91,1.28%,0.60,7.80%,28.10%,57.62%,7.91,92500,1.30,7.40%,13.40%,51.07,9.39% 10.16%,Yes,0.00,6.60%,10.40%,0.82,89.05,Yes,0.09,Mar 03 AMC,22.00%,3.27M,88.74,2.10,13.15%,-11.17%,-17.35%,"2,691,261",-0.35%
 RP,2020-04-10 10:15:01.625450,-,92.20,0.61,2.60%,97.36M,9.28%,5.47B,25.19,2.23,-38.78%,80.82M,-3.61%,58.20M,3.82,0.42,91.40%,8.03%,1.68%,988.10M,5.53,59.40%,-2.69%,8.59,-8.88%,12.69,4.42,15.07%,2.40%,68.75,-10.49%,2.03,27.72,24.11%,5.10%,36.91 - 65.92,4.47%,-,20.59,45.50%,3.90%,-14.83%,0.97,-,1.20,19.60%,56.90%,52.13%,3.88,7000,1.20,12.20%,9.60%,55.21,4.93% 8.35%,Yes,1.03,217.60%,5.90%,1.10,54.37,Yes,1.01,Feb 27 AMC,0.00%,755.30K,56.15,1.90,11.57%,-0.54%,-4.27%,"831,022",3.27%
 RPD,2020-04-10 10:15:28.405287,-,-,-1.10,2.80%,52.96M,9.36%,2.18B,108.24,0.38,-16.25%,46.54M,0.49%,-53.80M,-,-0.11,95.00%,8.16%,-32.90%,326.90M,6.68,7.60%,0.45%,5.37,-14.97%,1.68,24.55,160.96%,-8.60%,64.24,-22.26%,4.52,9.12,-0.46%,-62.30%,31.34 - 66.01,-26.38%,-,-,13.10%,-17.20%,-37.52%,1.27,-,1.30,33.60%,72.10%,31.59%,3.56,1544,1.30,33.10%,-14.10%,47.79,7.71% 9.94%,Yes,2.23,-5.30%,-16.50%,1.19,39.78,Yes,2.23,May 11 AMC,-,706.76K,41.24,1.80,4.71%,-13.31%,-22.41%,"838,049",3.67%
 RRGB,2020-04-10 10:15:56.283990,-,-,-0.61,2.60%,12.37M,67.28%,146.09M,85.58,0.14,18.28%,11.02M,3.87%,-7.90M,-,-0.03,-,27.13%,-64.80%,1.32B,0.11,-23.30%,-2.81%,4.90,-61.96%,27.87,0.42,170.00%,-0.60%,23.17,-58.33%,2.43,4.87,10.00%,-2.20%,4.04 - 37.29,-64.23%,-,243.48,-17.80%,0.20%,-68.33%,2.06,-,0.40,2.80%,19.50%,192.33%,2.11,24586,0.50,-1.30%,-1.00%,46.37,16.41% 25.01%,Yes,0.60,27.40%,-0.60%,1.75,10.99,Yes,0.60,Feb 25 AMC,-,610.56K,11.81,3.10,38.46%,-44.45%,-59.19%,"1,068,525",7.46%
 RRR,2020-04-10 10:16:13.523315,-,-,-0.11,0.10%,120.28M,43.27%,1.32B,15.48,0.71,0.00%,67.65M,-2.92%,-3.40M,-,0.29,-,5.28%,-53.34%,1.86B,0.71,-103.60%,-0.16%,2.47,-44.49%,7.19,1.52,43.90%,-0.10%,23.50,-59.94%,1.07,10.24,-,-0.70%,2.76 - 28.62,-54.24%,0.40,5.70,-15.00%,4.70%,-61.71%,2.62,3.65%,1.00,7.50%,48.80%,297.09%,1.97,14000,1.00,6.80%,8.90%,47.72,16.06% 28.69%,Yes,6.06,-9.80%,-0.20%,2.27,9.89,Yes,5.99,May 05 AMC,-,1.44M,10.96,2.40,35.45%,-35.72%,-46.85%,"3,273,816",10.82%
 RTH,2020-04-10 10:16:42.782311,-,-,-,-,-,8.60%,-,-,-,-,-,0.95%,-,-,-,-,-,-7.59%,-,-,-,-,-,-1.18%,-,-,-,-,-,5.12%,-,-,-,-,94.61 - 127.36,-6.75%,0.99,-,-,-,-12.06%,-,0.88%,-,-,-,18.38%,4.45,-,-,-,-,54.90,2.52% 3.93%,Yes,-,-,-,1.30,110.85,Yes,-,-,-,21.28K,112.00,-,8.54%,-1.48%,-2.69%,"27,655",1.04%
 RTIX,2020-04-10 10:17:02.923581,-,-,-0.17,2.50%,76.78M,36.13%,162.01M,78.15,0.03,0.00%,64.46M,-31.72%,-11.80M,-,0.00,80.30%,2.02%,-19.47%,299.40M,0.54,-181.00%,0.01%,2.13,-18.85%,3.11,0.68,-,-2.00%,6.00,-60.34%,0.04,54.00,15.00%,-5.00%,1.46 - 5.67,-22.99%,-,-,28.60%,0.40%,-62.79%,1.72,-,1.30,7.20%,54.40%,44.52%,0.27,891,3.90,10.10%,-3.00%,45.75,9.98% 14.25%,Yes,0.00,-274.50%,-3.70%,1.21,1.82,Yes,0.72,Apr 30 BMO,-,611.94K,2.11,1.70,8.12%,-34.54%,-31.97%,"740,288",15.93%
 RTLR,2020-04-10 10:17:21.143954,-,24.86,0.19,2.60%,144.40M,19.17%,664.24M,3.58,1.28,0.16%,42.40M,-19.01%,28.10M,0.45,0.30,-,2.33%,-72.94%,447.70M,1.48,-55.40%,0.02%,1.69,-71.45%,4.87,0.94,9.09%,2.10%,11.80,-,0.07,62.66,55.60%,3.50%,2.90 - 20.24,-74.14%,0.63,0.94,-,16.60%,-77.27%,-,13.70%,0.90,-,61.60%,58.62%,0.85,676,1.10,143.30%,49.00%,38.29,16.37% 21.12%,Yes,0.57,-23.50%,6.30%,1.47,4.02,Yes,0.57,Feb 18 AMC,340.30%,584.13K,4.60,2.30,16.07%,-51.97%,-69.98%,"856,252",14.43%
 RTRX,2020-04-10 10:17:39.768283,-,-,-3.47,1.10%,43.81M,10.05%,724.62M,-,-2.49,-6.93%,37.12M,11.83%,-146.40M,-,-0.67,-,12.27%,9.90%,175.30M,4.13,-36.20%,1.24%,11.58,49.68%,5.14,3.22,2.70%,-23.10%,46.25,-25.50%,9.10,1.82,20.00%,-56.90%,8.98 - 23.00,16.48%,-,-,4.80%,-32.20%,-28.09%,0.88,-,4.40,44.10%,97.00%,84.19%,1.28,221,4.50,6.60%,-78.30%,61.06,6.99% 11.58%,Yes,0.93,-289.40%,-83.50%,1.09,15.63,Yes,0.93,Feb 24 AMC,-,393.14K,16.54,1.50,25.36%,11.20%,11.06%,"430,022",5.82%
 RTTR,2020-04-10 10:17:57.483449,-,-,-1.16,2.10%,41.98M,2.49%,10.37M,-,-,-37.93%,9.11M,-7.84%,-10.10M,-,-0.06,2.70%,10.18%,8.38%,-,-,71.10%,-,0.09,-29.46%,-0.04,-,-,-206.00%,7.00,-73.53%,0.04,6.10,-,627.50%,0.15 - 1.27,46.24%,-,-,28.00%,-,-80.55%,-0.79,-,1.30,-,-,64.67%,0.07,5,1.30,-,-,47.33,12.63% 27.37%,No,-,97.60%,-,0.32,0.27,Yes,-,Apr 03 AMC,-,10.22M,0.25,3.00,-7.92%,-11.03%,-46.81%,"3,315,264",-7.49%
 RUBY,2020-04-10 10:18:17.093982,-,-,-2.08,6.00%,78.48M,12.47%,375.13M,-,-2.15,-0.70%,71.26M,-27.02%,-163.50M,-,-0.57,-,14.20%,-50.31%,-,-,-85.20%,0.01%,22.90,-43.70%,3.44,1.39,2.30%,-38.30%,9.83,-75.14%,3.61,1.32,-,-50.40%,3.35 - 19.78,-49.68%,-,-,-,-,-75.83%,-,-,8.60,-,-,42.69%,0.62,223,8.60,-,-,45.14,9.70% 18.25%,Yes,0.18,-66.30%,-,0.75,4.54,Yes,0.18,Mar 12 BMO,-,441.75K,4.78,2.60,13.73%,-26.99%,-49.97%,"329,702",5.29%
 RUHN,2020-04-10 10:18:35.644960,-,-,-0.16,12.80%,80.09M,10.42%,356.40M,-,-,0.00%,11.98M,-39.86%,-13.30M,-,-,2.50%,5.19%,-42.13%,184.20M,1.93,29.60%,0.50%,2.15,-30.14%,2.05,2.17,-,-7.40%,-,-31.96%,1.49,2.98,-,-11.00%,3.06 - 9.60,-36.52%,-,-,-,195.70%,-53.65%,-,-,3.00,-,35.30%,45.42%,0.45,836,3.60,25.10%,-9.10%,31.40,8.90% 9.33%,No,0.00,-32.50%,-7.20%,0.26,4.26,Yes,0.00,Mar 03 BMO,-,288.68K,4.45,-,-12.80%,-33.89%,-25.21%,"73,820",4.46%
 RUN,2020-04-10 10:18:52.198974,-,58.94,0.20,4.40%,132.20M,19.69%,1.55B,17.88,0.66,-12.79%,113.24M,-22.06%,26.30M,2.30,0.03,89.40%,16.10%,-21.80%,858.60M,1.81,-6.60%,0.64%,5.62,-29.70%,8.16,1.44,52.56%,0.50%,21.95,-25.95%,2.04,5.75,25.65%,2.80%,7.84 - 23.66,-15.06%,-,-,18.00%,-5.80%,-50.42%,1.09,-,0.90,34.00%,24.80%,49.71%,1.68,4800,1.40,1.60%,-25.10%,47.64,11.03% 16.19%,Yes,2.71,291.40%,3.10%,0.82,11.47,Yes,2.65,Feb 27 AMC,0.00%,3.24M,11.73,2.10,15.28%,-26.20%,-27.22%,"2,656,423",2.27%
 RUSHA,2020-04-10 10:19:08.178731,-,9.31,3.77,1.20%,37.25M,17.18%,1.31B,11.69,3.00,-18.58%,31.10M,-0.57%,141.60M,-,0.44,-,1.91%,-21.98%,5.81B,0.22,9.20%,0.36%,2.44,-4.47%,31.85,1.10,26.93%,4.10%,42.50,-18.94%,4.88,7.19,-1.09%,12.60%,27.25 - 49.27,-24.60%,0.52,11.93,14.00%,5.90%,-28.84%,1.37,1.48%,0.30,4.20%,17.70%,28.66%,2.58,7244,1.10,-14.50%,3.70%,53.79,7.98% 8.46%,Yes,1.48,-46.90%,2.40%,0.72,32.76,Yes,0.44,May 13 AMC,13.00%,243.64K,35.06,2.00,13.35%,-7.31%,-12.84%,"174,587",7.02%
 RUSHB,2020-04-10 10:19:23.750534,-,8.90,3.77,47.59%,8.96M,18.54%,300.75M,-,-,0.00%,-,-1.44%,-,-,-,40.62%,-,-23.97%,5.81B,0.05,-,-,2.03,-12.05%,32.04,1.05,-,-,-,-20.91%,-,-,-,-,21.65 - 48.50,-26.56%,0.52,-,-,-,-30.80%,-,1.55%,-,-,-,55.05%,2.86,7244,-,-14.50%,-,53.38,5.66% 11.16%,No,-,-49.40%,-,0.93,31.29,Yes,-,May 13 AMC,-,8.09K,33.56,-,18.22%,-9.09%,-17.22%,"7,543",7.25%
 RUTH,2020-04-10 10:19:43.889926,-,6.05,1.44,7.90%,30.96M,48.72%,268.89M,6.29,1.38,0.00%,27.03M,-36.61%,42.20M,0.43,0.42,84.90%,4.53%,-60.63%,468.00M,0.57,6.30%,0.37%,1.38,-54.02%,3.30,2.63,14.81%,9.30%,13.00,-65.59%,0.18,48.02,14.18%,44.70%,2.32 - 27.14,-60.10%,-,10.50,13.80%,28.00%,-68.00%,1.49,-,0.30,6.20%,26.90%,275.16%,1.52,5740,0.40,6.10%,11.20%,46.62,17.09% 27.73%,Yes,0.68,6.40%,9.00%,2.11,7.75,Yes,0.68,Feb 21 BMO,35.70%,889.12K,8.69,2.70,27.99%,-40.42%,-55.97%,"1,874,356",12.06%
 RVMD,2020-04-10 10:20:03.368439,-,-,-1.13,0.50%,55.95M,6.44%,1.32B,-,-1.55,-,55.95M,-20.29%,-61.90M,-,-0.33,22.20%,2.49%,-,50.00M,26.46,-13.70%,-,2.12,-,-42.23,-,0.00%,-,45.00,-,2.19,10.78,-,-,17.34 - 37.08,-18.17%,-,-,-,32.60%,-36.22%,-,-,3.10,-,-,36.35%,3.50,95,3.10,16.80%,-,-,10.74% 18.00%,No,-,-,-,0.21,23.36,Yes,-,-,-,658.60K,23.65,1.70,3.56%,-12.13%,-12.13%,"138,373",1.24%
 RVNC,2020-04-10 10:20:23.251417,-,-,-3.66,1.10%,56.90M,19.84%,931.45M,-,-3.46,0.00%,53.73M,-8.90%,-159.40M,-,-0.90,-,11.72%,-0.70%,0.40M,2328.63,6.90%,5.40%,6.18,35.40%,4.94,3.31,18.60%,-52.00%,35.20,13.44%,5.10,3.21,11.60%,-81.10%,9.88 - 27.97,0.86%,-,-,-2.50%,-72.90%,-41.47%,1.49,-,7.20,1.50%,-,65.69%,1.89,193,7.20,-80.00%,-,49.95,9.38% 13.35%,Yes,0.00,11.20%,-,0.49,15.15,Yes,0.00,Feb 24 AMC,-,1.02M,16.37,1.90,14.20%,-18.84%,2.51%,"503,056",8.05%
 RVSB,2020-04-10 10:20:43.304838,-,7.10,0.75,2.00%,23.45M,21.64%,125.22M,10.27,0.52,12.27%,21.25M,0.00%,17.10M,0.59,0.15,66.90%,0.41%,-33.08%,50.70M,2.47,39.60%,-0.07%,1.17,-26.04%,6.43,0.83,-27.78%,1.50%,9.00,-28.32%,2.72,1.97,12.00%,12.20%,4.05 - 8.70,-34.96%,0.20,11.08,-2.60%,25.40%,-38.62%,1.00,3.75%,-,12.90%,-,31.85%,0.53,250,-,3.20%,91.50%,51.39,9.29% 11.10%,Yes,0.20,-6.20%,33.70%,1.28,4.87,Yes,0.20,Apr 28 AMC,22.60%,75.50K,5.34,-,10.94%,-11.96%,-26.39%,"96,975",9.65%
 RWLK,2020-04-10 10:21:02.999172,-,-,-3.09,0.31%,13.33M,23.36%,7.20M,-,-0.41,0.00%,12.72M,-10.75%,-15.60M,-,-0.26,20.00%,3.29%,-78.14%,4.90M,1.47,81.70%,60.41%,1.08,-81.69%,1.50,0.36,60.60%,-61.10%,3.50,-85.68%,1.22,0.44,-,-140.70%,0.41 - 10.08,-75.00%,-,-,44.20%,-79.40%,-94.64%,2.02,-,1.80,4.30%,55.90%,31.71%,0.06,94,2.10,-25.00%,-,49.34,13.33% 13.76%,No,0.64,80.70%,-,0.82,0.54,Yes,0.14,Feb 20 BMO,-,386.09K,0.54,2.00,10.76%,-31.46%,-77.98%,"317,387",0.02%
 RYAAY,2020-04-10 10:21:21.749749,-,11.62,5.03,9.10%,221.92M,16.49%,12.98B,11.43,5.12,0.00%,209.42M,-15.37%,1.13B,0.71,-1.43,47.20%,0.58%,-35.02%,9.31B,1.39,-36.40%,-3.67%,1.32,-15.00%,30.61,1.91,11.37%,7.20%,80.00,-19.93%,17.50,3.34,16.30%,18.00%,44.44 - 96.79,-33.25%,-,8.15,15.20%,10.40%,-39.58%,1.20,-,1.10,8.90%,40.00%,31.59%,4.07,16840,1.10,20.50%,13.50%,46.22,3.95% 6.20%,Yes,0.69,235.70%,12.10%,0.49,58.30,Yes,0.64,May 04 BMO,0.00%,925.08K,58.48,2.50,6.65%,-18.28%,-19.66%,"455,871",0.31%
 RYTM,2020-04-10 10:21:41.089307,-,-,-3.91,1.40%,45.98M,11.97%,774.30M,-,-2.25,-54.95%,40.87M,12.27%,-140.70M,-,-0.84,97.70%,3.91%,-23.03%,-,-,-61.70%,0.03%,6.06,-14.17%,6.65,2.53,33.20%,-60.30%,34.13,-38.50%,6.36,2.65,16.10%,-67.70%,12.99 - 29.13,-26.66%,-,-,-,-,-42.19%,-,-,12.40,-,-,29.64%,1.32,70,12.40,-,-,58.33,8.44% 9.26%,Yes,0.00,-5.20%,-,1.18,15.31,Yes,0.00,Mar 13 BMO,-,263.45K,16.84,1.70,15.31%,0.88%,-17.50%,"310,051",9.99%
